comment,score
this trailer escalates into fucking insanity really quickly,0
This is what Lt Surge saw during the war.,0
"This trailer was a trip. First it's like ""Oh cute Pokemon-style game where you collect monsters and cooperate to survive!"" then like five seconds later you see cute little squirrel creatures in a gritty, industrial assembly line constructing assault rifles",2
This is it. This is Pokemon Gun.,0
"""How many mechanics are we putting in this game?""""All of them.""""All of them?""""Did I stutter?""",0
the scene she uses a cute fluffy pokemon as a living shield then tosses it to the side pretty much sold me,0
"Pocket Pair: makes Pokémon farming simAlso Pocket Pair: ""What if we added war crimes?""",0
Everybody gangsta til pokemon are enslaved to make guns in a factory,0
"I'm from Team Plasma<span class=""yt-core-attributed-string--inline-block-mod"" style=""margin-left: 2px; margin-right: 2px;""><img alt=""™"" class=""ytCoreImageHost yt-core-attributed-string__image-element yt-core-attributed-string__image-element--image-alignment-vertical-center ytCoreImageContentModeScaleToFill ytCoreImageLoaded"" style=""height: 16px; width: 16px;"" src=""./Palworld - Announce Trailer - YouTube_files/emoji_u2122.png"">",0
This is A LOT to process at once oh my god,0
That definitely took a turn,0
This trailer has one of the best tonal shifts I’ve ever seen,1
"“Huh another monster catching game is it-“<span class="""" dir=""auto"" style=""font-weight: 500;"">guns",0
"This is a ""what if Team Rocket won and ruled the world?"" kinda game.",0
This game looks like something a character in an actual game would be playing in the background while you explore a house...Except it's REAL.,1
Finally a Pokemon game set in an America based region :D,0
"I went from ""oh cool another monster raising game"" to laughing uncontrollably at the ridiculous amounts of blatant in your face monster cruelty.",1
No one could have ever conceived 3 years ago that this game would proceed to sell over 25 MILLION COPIES in only a month and honestly this game absolutely earned it by bring so balls to the walls and executing an idea that no other studio had the balls to implement.,-2
"""Give us a realistic pokemon game""Pocket Pair: hold my pokeball",0
"This looks like the type of game some teen would pitch to you. "" I want a game that's like Pokémon but also like Fortnite and if we could do farming like Stardew Valley...oh and also if we could upgrade our base/house like Clash of Clans"".",5
Was not expecting the guns lol,0
"""How much violence against cute creatures can we put in a game?""""Yes.""",0
crazy how different it became,0
So the rumors were true... Pokémon Gun is real.,0
I love this trailer so much because it implies that not only can you be a heroic person but you can also basically be Team Rocket,1
Literally every part with the guns almost feels like it's meant to be a joke,1
Who's here since the release wondering what's coming next now lmao.From meme to dream. Palworld to the moon.,0
First Pokemon game I've been excited for in a decade,0
"Okay, PocketPair. We also want that Fishing, the Direhowl cart, and the flyer cage.",0
"This quickly escalated from ""Oh hey, these cute colorful animal monsters actually have a pretty good design"" to ""wait, why are these crying lantern-tailed squirels manifacturing assault rifles?"" and I... Think I'm gonna keep an eye on this one! Like, a real good one!Also shoutouts to youtube detecting it as pokémon sword and shield",3
"A mash-up of Pokémon, Harvest Moon, Minecraft, Breath of the Wild and Gears of War. I never thought I'd see the day.",0
"absolutely incredible, this looks so morbidly fun, i cant wait to run a pokemon drug ring with my friends",2
“What kind of game is this?”Yes,0
I'm in tears.This is hilarious.I'll buy a copy for sure.,-1
"Judging by the name of the song playing, this version of game, back when it was made in Unity, is called ""Proto-Palworld""",0
this is probably the most ridiculous game idea i've seen in quite a while. this is also amazing at the same time...,0
"This is amazing, who would had thought you can pop an electric type into water and zap fishes.",0
"""You can also sell them off or even slaughter them to eat! That however, is forbidden by law."" Kill and eat your pals :) In the words of the very same steam page later on, ""It's only illegal if you get caught.""",0
This trailer went from cute to fucking insane so quickly in matter of seconds when they showed up the guns.,0
It's cool to see such an early version of the game. It's super different to what we have now while still having the same charm,1
this trailer screams satire just to piss off PETA,0
Who’s here just to rewatch trailer after the game was released,0
"Anyone In 2025<span class=""yt-core-attributed-string--inline-block-mod"" style=""margin-left: 2px; margin-right: 2px;""><img alt=""😂"" class=""ytCoreImageHost yt-core-attributed-string__image-element yt-core-attributed-string__image-element--image-alignment-vertical-center ytCoreImageContentModeScaleToFill ytCoreImageLoaded"" style=""height: 16px; width: 16px;"" src=""./Palworld - Announce Trailer - YouTube_files/emoji_u1f602.png"">",0
Part of me wishes we got this.,0
All those bootleg Pokémon mobile game devs got together and decided to take down Game Freak.With assault rifles.,-1
the wolf Akira slide in the first 15 seconds is NUTS,0
This unironically looks really fun,1
So pokemon are enslaved and force to make weapons.....nature is healing....,-1
"Just what we needed, the Gta x Pokémon collab!",0
I hope they add village building kind of like seen in the trailers. That'd be really fun,2
"This honestly feels more like a parody of pokemon, than a game trying to be like pokemon lol.",2
its interesting that most of these features are not in the game right now. its always interesting to see how much a game can change after a while,0
"I can't WAIT to play this brand new pokemon game!!! The graphics are spectacular, Adding guns in the game is an amazing idea I can't believe no one thought of this before",-1
I'd prefer a more stylized artstyle than the realistic one we got now,0
"""Anyways I started blasting"" - Gary Oak",0
So kinda of like Rune Factory and digimon but with guns?,1
I have never seen a game so accurately recreate what modded Skyrim feels like.,1
I wish I could watch this for the first time again,0
Pokemon Gun looks fuckin' awesome!,1
I wasn't expecting that shield.,0
The changes from this  to the release is  fucking nuts,0
Funny watching this after 2 years knowing this is insanely successful launched,0
"I REALLY want to play this, games have been feeling a bit cookie-cutter recently and I can't wait to try this out",0
I wish it was actually like this,1
Pokemon with automatic rifles and rpg weaponry holy shit,-1
"When I first watched the trailed all the way through I genuinely believed this wasn't a real game. This whole thing gets so tonally weird, I can't wait to see what the story will actually be like.",1
Wish the game was like this,1
Absolutely insane how far this game is going.,0
To think this ended up being one of the best pc games out there,1
I legit jumped out of my seat seeing all the wacky stuff in this trailer. This game is the definition of two-face and I am freakin all in for it.,0
"This is such a clash of tones, who looked at this and thought, ""Yes, yes this is a good idea.""This looks like a YouTube parody of Pokemon from the early 2010s.",3
"It's a multiplayer open-world survival crafting game. With guns.They really wanted to put everything in here, huh?",0
"""Game: Pokemon Sword and Shield""Brilliant, Youtube. Absolutely brilliant.",0
This legitimately looks more interesting than pokemon lmfao,0
"This is what I hoped Pokemon would become when the first 3D games came out on N64.  Gamefreak has consistently disappointed since then, so I'm glad that someone is finally executing on this concept properly!",1
"I don't think I was supposed to laugh so much at this trailer but I am crying, this was amazing.",0
"Haven't felt actual anticipation for a game in years, till now.",0
"Yo my pengullets can not do that <span class=""yt-core-attributed-string--inline-block-mod"" style=""margin-left: 2px; margin-right: 2px;""><img alt=""😭"" class=""ytCoreImageHost yt-core-attributed-string__image-element yt-core-attributed-string__image-element--image-alignment-vertical-center ytCoreImageContentModeScaleToFill ytCoreImageLoaded"" style=""height: 16px; width: 16px;"" src=""./Palworld - Announce Trailer - YouTube_files/emoji_u1f62d.png"">",0
"Just my own perspective you can ignore but, the shooting looks weird, like modding an anime character into gta... if the guns were cartoony/cute and less like an ak-47 i think it would work better aesthetically",2
i didn't realize how much it has changed from this trailer to the actual release,0
"This game: Catching and forcing Pokemon is essentially slavery, let's focus on that.",0
nintendo fans are really out there saying these models from 3 years ago were made with ai,-1
Who’s here in 2025 now seeing the awesomeness Palworld has become??,0
The fact that they've tagged the game as Pokemon Sword and Shield tho...,0
So this is from dev times when game was on Unity rails? Looks really different,0
Definitely interesting. Hopefully there's a console release some time in the future.,0
"This was the version made with Unity. Now that is made within Unreal the game looks completely different :O Btw, there are mechanics and characters no longer present in the current game :(",-1
Crazy to see how far they've come. The execution they had with this game was really something else.,0
This looks like some parody trailer... Like I wouldn't be surprised if this was shown on South Park and the plot is that Nintendo makes an R-rated Pokemon or something...,2
The actual release is really tame compared to this early trailer,0
Bro this game is so damn peaceful bro you can do farming too wtf,0
It’s changed a lot,0
The legend of Pokemon: Pioneers of Gun Town,0
"""YOU were the bad guy all along! We had to make our Pals manufacture guns on a massive scale because YOU kept killing us!""",-1
"I remember watching this 2 years ago, thinking how excited I was and how cool it looked but figured it would never release. Here I am today playing it. 2 YEARS LATER AND IM HERE BOYS",1
"So, who else is seeing this for the first time in 2024??",0
this is one of the funniest things i have seen recently,0
Could you imagine the world looking like this? I'd love it more than I already do.,2
"This looks fucking great, count me in.",1
"Huh, interesting that there’s a blue haired girl on that sea monster, now that the game is out, I wonder if she was scrapped or is kept for a future update",0
Damn i forgot this trailer existed only a few of the mechanics were added,0
Watching this two years later is crazy…,0
"The fucking Akira slide on the wolf had me dying <span class=""yt-core-attributed-string--inline-block-mod"" style=""margin-left: 2px; margin-right: 2px;""><img alt=""😂"" class=""ytCoreImageHost yt-core-attributed-string__image-element yt-core-attributed-string__image-element--image-alignment-vertical-center ytCoreImageContentModeScaleToFill ytCoreImageLoaded"" style=""height: 16px; width: 16px;"" src=""./Palworld - Announce Trailer - YouTube_files/emoji_u1f602.png"">",0
