comment,raw_score,length,normalized_score,class
this trailer escalates into fucking insanity really quickly,0,8,0.0,neutral
This is what Lt Surge saw during the war.,0,9,0.0,neutral
"""How many mechanics are we putting in this game?""""All of them.""""All of them?""""Did I stutter?""",0,14,0.0,neutral
This is it. This is Pokemon Gun.,0,7,0.0,neutral
the scene she uses a cute fluffy pokemon as a living shield then tosses it to the side pretty much sold me,1.0,22,0.045454545454545456,positive
Everybody gangsta til pokemon are enslaved to make guns in a factory,0,12,0.0,neutral
"Pocket Pair: makes Pokémon farming simAlso Pocket Pair: ""What if we added war crimes?""",0,14,0.0,neutral
"This trailer was a trip. First it's like ""Oh cute Pokemon-style game where you collect monsters and cooperate to survive!"" then like five seconds later you see cute little squirrel creatures in a gritty, industrial assembly line constructing assault rifles",0,39,0.0,neutral
That definitely took a turn,0,5,0.0,neutral
This trailer has one of the best tonal shifts I’ve ever seen,1.0,12,0.08333333333333333,positive
This is A LOT to process at once oh my god,0,10,0.0,neutral
This game looks like something a character in an actual game would be playing in the background while you explore a house...Except it's REAL.,0,24,0.0,neutral
Finally a Pokemon game set in an America based region :D,2.0,11,0.18181818181818182,positive
"I'm from Team Plasma<span class=""ytAttributedStringInlineBlockMod"" style=""margin-left: 2px; margin-right: 2px;""><img alt=""™"" class=""ytCoreImageHost ytAttributedStringImageElement ytAttributedStringImageAlignmentVerticalCenter ytCoreImageContentModeScaleToFill ytCoreImageLoaded"" style=""height: 16px; width: 16px;"" src=""./Palworld - Announce Trailer - YouTube_files/emoji_u2122.png"">",0,4,0.0,neutral
"“Huh another monster catching game is it-“<span class="""" dir=""auto"" style=""font-weight: 500;"">guns",0,7,0.0,neutral
"I went from ""oh cool another monster raising game"" to laughing uncontrollably at the ridiculous amounts of blatant in your face monster cruelty.",1.0,21,0.047619047619047616,positive
No one could have ever conceived 3 years ago that this game would proceed to sell over 25 MILLION COPIES in only a month and honestly this game absolutely earned it by bring so balls to the walls and executing an idea that no other studio had the balls to implement.,-0.5,51,-0.00980392156862745,negative
"This is a ""what if Team Rocket won and ruled the world?"" kinda game.",0,14,0.0,neutral
Was not expecting the guns lol,0,5,0.0,neutral
"This looks like the type of game some teen would pitch to you. "" I want a game that's like Pokémon but also like Fortnite and if we could do farming like Stardew Valley...oh and also if we could upgrade our base/house like Clash of Clans"".",2.0,44,0.045454545454545456,positive
First Pokemon game I've been excited for in a decade,0,10,0.0,neutral
"""How much violence against cute creatures can we put in a game?""""Yes.""",0,12,0.0,neutral
this is probably the most ridiculous game idea i've seen in quite a while. this is also amazing at the same time...,1.0,22,0.045454545454545456,positive
Literally every part with the guns almost feels like it's meant to be a joke,-1.0,15,-0.06666666666666667,negative
So the rumors were true... Pokémon Gun is real.,0,9,0.0,neutral
Who's here since the release wondering what's coming next now lmao.From meme to dream. Palworld to the moon.,1.0,18,0.05555555555555555,positive
crazy how different it became,0,5,0.0,neutral
"""Give us a realistic pokemon game""Pocket Pair: hold my pokeball",0,10,0.0,neutral
"Anyone In 2025<span class=""ytAttributedStringInlineBlockMod"" style=""margin-left: 2px; margin-right: 2px;""><img alt=""😂"" class=""ytCoreImageHost ytAttributedStringImageElement ytAttributedStringImageAlignmentVerticalCenter ytCoreImageContentModeScaleToFill ytCoreImageLoaded"" style=""height: 16px; width: 16px;"" src=""./Palworld - Announce Trailer - YouTube_files/emoji_u1f602.png"">",0,3,0.0,neutral
I love this trailer so much because it implies that not only can you be a heroic person but you can also basically be Team Rocket,1.0,24,0.041666666666666664,positive
“What kind of game is this?”Yes,0,6,0.0,neutral
Who’s here just to rewatch trailer after the game was released,0,11,0.0,neutral
"absolutely incredible, this looks so morbidly fun, i cant wait to run a pokemon drug ring with my friends",3.0,17,0.17647058823529413,positive
"A mash-up of Pokémon, Harvest Moon, Minecraft, Breath of the Wild and Gears of War. I never thought I'd see the day.",0,21,0.0,neutral
It's cool to see such an early version of the game. It's super different to what we have now while still having the same charm,1.0,25,0.04,positive
"""You can also sell them off or even slaughter them to eat! That however, is forbidden by law."" Kill and eat your pals :) In the words of the very same steam page later on, ""It's only illegal if you get caught.""",0,42,0.0,neutral
"This quickly escalated from ""Oh hey, these cute colorful animal monsters actually have a pretty good design"" to ""wait, why are these crying lantern-tailed squirels manifacturing assault rifles?"" and I... Think I'm gonna keep an eye on this one! Like, a real good one!Also shoutouts to youtube detecting it as pokémon sword and shield",1.5,53,0.02830188679245283,positive
I'm in tears.This is hilarious.I'll buy a copy for sure.,-1.0,10,-0.1,negative
"This is amazing, who would had thought you can pop an electric type into water and zap fishes.",1.0,17,0.058823529411764705,positive
this trailer screams satire just to piss off PETA,0,9,0.0,neutral
All those bootleg Pokémon mobile game devs got together and decided to take down Game Freak.With assault rifles.,-2.0,18,-0.1111111111111111,negative
"Judging by the name of the song playing, this version of game, back when it was made in Unity, is called ""Proto-Palworld""",0,22,0.0,neutral
