comment,raw_score,length,normalized_score,class
The scary Piano music can’t hurt youScary piano music: I’m back and in higher quality,-1.0,15,-0.06666666666666667,negative
"WHO’S READY TO SURF FOR TWO HOURS ACROSS A TWO-INCH POOL?!?! <span class=""ytAttributedStringInlineBlockMod"" style=""margin-left: 2px; margin-right: 2px;""><img alt=""🥳"" class=""ytCoreImageHost ytAttributedStringImageElement ytAttributedStringImageAlignmentVerticalCenter ytCoreImageContentModeScaleToFill ytCoreImageLoaded"" style=""height: 16px; width: 16px;"" src=""./Pokemon Brilliant Diamond and Shining Pearl Reveal Trailer! - YouTube_files/emoji_u1f973.png"">",0,12,0.0,neutral
We honestly need a remake of the remake right now,0,10,0.0,neutral
Something about their small model look so disturbing,0,8,0.0,neutral
If only they faithfully recreated that 40$ price tag.,-1.0,9,-0.1111111111111111,negative
Alrighty time to wait a 4 years for the black and white remake,1.0,13,0.07692307692307693,positive
I’m like actually kind of surprised that this is what we got. It does look kinda weird in art style. Like I feel it’s just a 3D version of the player sprites,0,31,0.0,neutral
"There wording of ""faithful remake"" has me worried that its just gonna be a carbon copy of diamond and pearl.",-1.0,20,-0.05,negative
This looks like it could have been for the 3ds,-1.0,10,-0.1,negative
Nintendo: Take this shit that we made with our assFans: Take all my money,-1.0,14,-0.07142857142857142,negative
"The character design in particular I don’t care for, but the buildings and routes look straight out of Diamond and Pearl so I really do like that",0,25,0.0,neutral
The way they worded it it worries me that it’s going to be the diamond pearl dex and not the platinum dex,0,21,0.0,neutral
"I don't know how to feel about this. Yeah, I wanted remakes long time ago. But after gen 8.. it was kinda scary to imagine remakes. Still feeling that they could do much better.",3.0,32,0.09375,positive
The overworld look's like something from the Link's Awakening remake while the battles look like something from the 3DS pokemon games. Such a strange combination of art styles,-1.0,28,-0.03571428571428571,negative
"Missed opportunity to call it ""Shining Diamond""",0,7,0.0,neutral
The graphics man... really disappointed they chose a chibi-like style. Looks like Playmobile figurines.,-1.0,14,-0.07142857142857142,negative
Bruh the graphics look like they're from SpongeBob battle for bikini bottom.,0,11,0.0,neutral
What are they going to do with all the mythical events and their island eg Darkrai,0,16,0.0,neutral
"I really wanted a Sword and Shield style tbh[UPDATE] seven seconds in, I discovered Pokémon legends",1.0,14,0.07142857142857142,positive
Am I the only one who likes the ORAS graphics than the sinnoh remake?,0,11,0.0,neutral
Shit. I really expected this to be like ORAS.,-1.0,8,-0.125,negative
I was Expecting a Diamond and Pearl with Sword and Shield Graphics not Links Awakening Remake...,0,14,0.0,neutral
This looks like a Citra 3ds mod,-1.0,7,-0.14285714285714285,negative
I really like that they modernized but kept the feel of the original sprites.,0,13,0.0,neutral
I am not sure how I feel about these. Definitely going to wait on these.,1.0,12,0.08333333333333333,positive
Fun fact: The original version (Pokémon D&amp;P) released in 2006 was the real remakes of this new version,1.0,18,0.05555555555555555,positive
The character designs are gonna be kinda hard to get around for me :/ but otherwise it looks good!,1.0,19,0.05263157894736842,positive
And just like that the fandom imploded!,0,7,0.0,neutral
"I’m gonna be honest I wish they changed more, I didn’t expect a carbon copy 3ds version, I know they did this since us gen 4 stans r kinda blood thirsty lunatics",-2.0,29,-0.06896551724137931,negative
"This ain’t it chief, The Arceus game looks promising though.",0,10,0.0,neutral
The chibi looks like My Sims lmao!,0,6,0.0,neutral
"No lie I’m disappointed with the art style, I know the switch is capable of wayy more but it is what it is. I’ll still cop this day one cause I’m a die hard fan smh",-2.0,35,-0.05714285714285714,negative
"Yes yes yes YES,After so long, now it’s time to return to sinnoh.",0.3333333333333333,13,0.02564102564102564,positive
"But.. why down grade the player models, why not keep them like they have been from x and y... ?",0,19,0.0,neutral
"I can already see Cynthia whooping my ass again with her Garchomp and Spiritomb<span class=""ytAttributedStringInlineBlockMod"" style=""margin-left: 2px; margin-right: 2px;""><img alt=""😭"" class=""ytCoreImageHost ytAttributedStringImageElement ytAttributedStringImageAlignmentVerticalCenter ytCoreImageContentModeScaleToFill ytCoreImageLoaded"" style=""height: 16px; width: 16px;"" src=""./Pokemon Brilliant Diamond and Shining Pearl Reveal Trailer! - YouTube_files/emoji_u1f62d.png"">",-1.0,13,-0.07692307692307693,negative
Who’s prepared to hear route 209 music in high quality,0,10,0.0,neutral
Pointing the obvious here the game is actually a 3d version of the game,0,14,0.0,neutral
"They didn’t take any risk for diamond and pearl but for Pokémon legends they went balls to the wall<span class=""ytAttributedStringInlineBlockMod"" style=""margin-left: 2px; margin-right: 2px;""><img alt=""😂"" class=""ytCoreImageHost ytAttributedStringImageElement ytAttributedStringImageAlignmentVerticalCenter ytCoreImageContentModeScaleToFill ytCoreImageLoaded"" style=""height: 16px; width: 16px;"" src=""./Pokemon Brilliant Diamond and Shining Pearl Reveal Trailer! - YouTube_files/emoji_u1f602.png"">",0,19,0.0,neutral
"I've been waiting for this for so long, and of course, they make it look WORSE than the original. Game Freak is either just trolling, or just trying to show that they can put as little effort into a product as possible and still get sales.",-1.0,46,-0.021739130434782608,negative
"I am so excited that they choose cuter graphics instead of messing or simplifying the map by using sw/sh graphics. This fits the game so well and the point of view is just like the old game except the environment is so cute. The water is pretty. I've been waiting so long for this, im ready!",0,55,0.0,neutral
"Oh god it’s coming, everyone stay calm",0,6,0.0,neutral
I'm just gonna say everyone hating on the art. But I'm glad it's not a let's go,1.0,16,0.0625,positive
"Diamond was my first ever pokemon game so i'm hype for this, probably more than i should be",1.0,17,0.058823529411764705,positive
Not a big fan of the chibi art style but at least it's not a Let's go style game,0,16,0.0,neutral
You know.....this game could be ported to 3DS so easily too....,-1.0,11,-0.09090909090909091,negative
They could have at least did pokemon go graphics wtf is this,-1.0,12,-0.08333333333333333,negative
"So looking forward to this. Can't wait to get this! <span class=""ytAttributedStringInlineBlockMod"" style=""margin-left: 2px; margin-right: 2px;""><img alt=""👍🏻"" class=""ytCoreImageHost ytAttributedStringImageElement ytAttributedStringImageAlignmentVerticalCenter ytCoreImageContentModeScaleToFill ytCoreImageLoaded"" style=""height: 16px; width: 16px;"" src=""./Pokemon Brilliant Diamond and Shining Pearl Reveal Trailer! - YouTube_files/emoji_u1f44d_1f3fb.png"">",0.0,11,0.0,neutral
"as long as this footage is in early stages, I'm super hyped!",0.0,12,0.0,neutral
To everyone who said there was never going to be a Diamond and Pearl remake: how salty do you feel now?,0,20,0.0,neutral
I honestly prefer the OG Diamond and Pearl over this,0,9,0.0,neutral
This seems very low effort for a Switch remake.,0,9,0.0,neutral
"I was waiting so long for this, and I don't know how I feel about this.",0,13,0.0,neutral
"I just replayed Platinum, now I'm ready for the remake <span class=""ytAttributedStringInlineBlockMod"" style=""margin-left: 2px; margin-right: 2px;""><img alt=""😅"" class=""ytCoreImageHost ytAttributedStringImageElement ytAttributedStringImageAlignmentVerticalCenter ytCoreImageContentModeScaleToFill ytCoreImageLoaded"" style=""height: 16px; width: 16px;"" src=""./Pokemon Brilliant Diamond and Shining Pearl Reveal Trailer! - YouTube_files/emoji_u1f605.png"">",0,10,0.0,neutral
Looks like it could’ve been for the 3ds,-1.0,8,-0.125,negative
"Judging by the art, I’m guessing this is supposed to be a filler like let’s go",-1.0,16,-0.0625,negative
"Missed opportunity for Shining Diamond.Otherwise, dope.",0,6,0.0,neutral
me gearing up to play a remake of a game i played inside out 100 times already,0,16,0.0,neutral
"Take my fking money right now!!! <span class=""ytAttributedStringInlineBlockMod"" style=""margin-left: 2px; margin-right: 2px;""><img alt=""😍"" class=""ytCoreImageHost ytAttributedStringImageElement ytAttributedStringImageAlignmentVerticalCenter ytCoreImageContentModeScaleToFill"" style=""height: 16px; width: 16px;"">",0,7,0.0,neutral
