comment,raw_score,length,normalized_score,class
Came back after the gen 10. Wow forgot even the trailer lagged.,0,12,0.0,neutral
gameplay footage not final ( ended up being the final product ),-2.0,11,-0.18181818181818182,negative
Who is here right after the Gen 10 reveal to compare,0,10,0.0,neutral
"4 years later... Gen 10 is upon us chat <span class=""ytAttributedStringInlineBlockMod"" style=""margin-left: 2px; margin-right: 2px;""><img alt=""😭"" class=""ytCoreImageHost ytAttributedStringImageElement ytAttributedStringImageAlignmentVerticalCenter ytCoreImageContentModeScaleToFill ytCoreImageLoaded"" style=""height: 16px; width: 16px;"" src=""./scarlet_files/emoji_u1f62d.png"">",0,10,0.0,neutral
Gen 10 definitely looks WAY better than this.,1.0,8,0.125,positive
oh gosh the diifference in graphics from then and now,0,9,0.0,neutral
the trailer going from pure cinematic suspense goodness to a sudden cut to 20 fps game footage with jagged aliased lines rght in your face will never not be funny to me,-1.0,31,-0.03225806451612903,negative
Awesome! This is so exciting also ngl the opening with the security guard looking around the building made me think this was a reveal trailer for Detective Pikachu 2 at first,2.0,31,0.06451612903225806,positive
Came here after seeing Gen 10 new starters and happy 30 years Pokemon! To think these starters are now old news lol.,1.0,22,0.045454545454545456,positive
"Just came here to see how bad actually Gen 9 looks compared to gen 10 and oh boy, i didn’t remember it was THAT bad <span class=""ytAttributedStringInlineBlockMod"" style=""margin-left: 2px; margin-right: 2px;""><img alt=""💀"" class=""ytCoreImageHost ytAttributedStringImageElement ytAttributedStringImageAlignmentVerticalCenter ytCoreImageContentModeScaleToFill ytCoreImageLoaded"" style=""height: 16px; width: 16px;"" src=""./scarlet_files/emoji_u1f480.png"">",-0.5,24,-0.020833333333333332,negative
And to think that in 133 days we will learn about Generation 10. Scarlet and Violet still feel recent...,0,19,0.0,neutral
30th anniversary tomorrow...,0,3,0.0,neutral
"I can't freaking believe this, in 9 months we're gonna be playing Gen 9 wtfff",0,14,0.0,neutral
Their entire budget went into Seviper's scales.,0,7,0.0,neutral
"This video was randomly recommended to me in time for pokemon 30th <span class=""ytAttributedStringInlineBlockMod"" style=""margin-left: 2px; margin-right: 2px;""><img alt=""😂"" class=""ytCoreImageHost ytAttributedStringImageElement ytAttributedStringImageAlignmentVerticalCenter ytCoreImageContentModeScaleToFill ytCoreImageLoaded"" style=""height: 16px; width: 16px;"" src=""./scarlet_files/emoji_u1f602.png"">",0,13,0.0,neutral
"It feels and looks like legends of arceus, just in present time. Seems like this is gunna be the new style for a while, can't wait to see what comes out next.",-1.0,32,-0.03125,negative
Whoever played the security guard did an awesome job.Just giving props to that dude,1.0,14,0.07142857142857142,positive
dude i CANNOT believe they showed this,0,5,0.0,neutral
This appears to be the first generation being a fullly open-world game!,0,12,0.0,neutral
"Why was this recommended after gen 10 trailer <span class=""ytAttributedStringInlineBlockMod"" style=""margin-left: 2px; margin-right: 2px;""><img alt=""😂"" class=""ytCoreImageHost ytAttributedStringImageElement ytAttributedStringImageAlignmentVerticalCenter ytCoreImageContentModeScaleToFill ytCoreImageLoaded"" style=""height: 16px; width: 16px;"" src=""./scarlet_files/emoji_u1f602.png"">",0,9,0.0,neutral
"Came back from gen 10 cause people were saying “it looks the same, and my god I didn’t even remember how bad this trailer was.",-1.0,24,-0.041666666666666664,negative
"The 2022 release date kinda scares me, but so far, this trailer looks like the game is well into development. I love how the environment seems to perfectly incorporate Legends Arceus openness, while also including the usual route system we're used to. Hyped to see what's next",2.0,46,0.043478260869565216,positive
I hope everyone in the world can get along with this new Pokemon.,0,12,0.0,neutral
"This looks fantastic. Imagine what they did with Legends, but fully open world. From the description, that seems to be what is coming. From the wild area, to Legends, to this. Super excited!",1.0,33,0.030303030303030304,positive
"Anyone else watching this, being hyped about Pokemon day on february 27th? <span class=""ytAttributedStringInlineBlockMod"" style=""margin-left: 2px; margin-right: 2px;""><img alt=""😊"" class=""ytCoreImageHost ytAttributedStringImageElement ytAttributedStringImageAlignmentVerticalCenter ytCoreImageContentModeScaleToFill ytCoreImageLoaded"" style=""height: 16px; width: 16px;"" src=""./scarlet_files/emoji_u1f60a.png"">",1.0,13,0.07692307692307693,positive
"I’m not sure how I feel about us getting Gen 9 so soon after Legends, but I’m glad to see that it’s going full open world. Hopefully the developers aren’t rushing themselves this time.",1.0,32,0.03125,positive
"They’re really pumping out games recently, I hope it gets the time it deserves to be as polished as possible",0,19,0.0,neutral
"I really thought it was going to be Detective Pikachu 2 because of the security guard, but Pokémon Scarlet and Violet was a nice surprise",1.0,24,0.041666666666666664,positive
This is shocking after the gen 10 trailer lmao. But I'm happy they got the wakeup call,1.0,17,0.058823529411764705,positive
"This game seems like it could be exactly what I wanted after Arceus, but I really wasn't expecting it so soon.I think most of us would be willing to wait.",2.0,27,0.07407407407407407,positive
"As long as they don't pull an incineroar with the grass starter, this'll be my first time picking a starter that isn't water in a while. So excited for the games!",0,31,0.0,neutral
