comment,raw_score,length,normalized_score,class
Remember when this was the most recent region? If not I still do,0,11,0.0,neutral
Anyone else watching this to get ready for the gen 10 reveal?,0,12,0.0,neutral
Aegislash: Am I a joke to you?,-1.0,6,-0.16666666666666666,negative
Coming soon! Pokemon Mom and Dad. Explore the exciting world of the pokemon court system as you decide who to side with in the Divorce.,1.0,24,0.041666666666666664,positive
"Scorbunny: existsThe whole internet: <span class=""ytAttributedStringItalicized"" dir=""auto"" style=""font-weight: 500;"">i diagnose you with fire/figthing",0,8,0.0,neutral
Still waiting for Pokémon fish and chips.,0,7,0.0,neutral
"<span class="""" dir=""auto"" style=""font-weight: 500;"">2100: Pokemon Pepsi",0,3,0.0,neutral
2040: Pokémon Left and Pokémon Right,0,6,0.0,neutral
2030 : Pokemon Fork and Pokemon Knife,0,7,0.0,neutral
And no one is speculating that the legendaries could be wolves... It's in the logo...,-1.0,15,-0.06666666666666667,negative
"I'm from 2030, playing Pokémon Bread and Butter.",0,8,0.0,neutral
i dont know how to explain it but to me  gen 8 is better looking than gen 9,1.0,16,0.0625,positive
Do you know what we haven’t had? A Dark Type Gym.,0,11,0.0,neutral
We need a jerk rivalnot a friendly rival,0,7,0.0,neutral
Pokemon attac and pokemon protec,0,5,0.0,neutral
Pokémon hammer and sickle will still always be my fav,1.0,10,0.1,positive
Looking forward to Pokémon Salt and Pepper,1.0,7,0.14285714285714285,positive
Every trainer you come across will just have a team of 6 Pidoves.,0,13,0.0,neutral
"<span class="""" dir=""auto"" style=""font-weight: 500;"">I hope they make a Pokémon game where we play as the parents waiting for our 10 yr old immortal kids coming back after a decade and being the same age",0,30,0.0,neutral
"A year on and I'm surprised that no one has brought up that ""galar"" means disease in Irish",-1.0,18,-0.05555555555555555,negative
"Scorbunny will evolve into ""Flarehare"" calling it now",0,8,0.0,neutral
"<span class="""" dir=""auto"" style=""font-weight: 500;"">picks female character",0,3,0.0,neutral
The rabbit starter is gonna evolve into big chungus,0,9,0.0,neutral
Scorbunny: Fast and Energetic Sobble: Cute and Independent Grookey: Adventurous and playful,0,12,0.0,neutral
"Bags in previous games: bagBag in this game: <span class="""" dir=""auto"" style=""font-weight: 500;"">LITERALLY a SUITCASE",0,11,0.0,neutral
Waiting for the North American Version Pokémon Gun.,0,8,0.0,neutral
Time for Pokemons new genPokemon Hammer and Sickle,0,8,0.0,neutral
"2020: Pokemon Ash And Snow <span class="""" dir=""auto"" style=""font-weight: 500;"">So ash is finally in the game",1.0,12,0.08333333333333333,positive
I swear to Jesus if scorbunny is a fire fighting I’m ded,0,11,0.0,neutral
Scorbunny evolves into roger rabbit and then big chungus.,0,9,0.0,neutral
"<span class="""" dir=""auto"" style=""font-weight: 500;"">EXCLUSIVE GAME ONLY IN AMERICA",-1.0,5,-0.2,negative
This is 6 years old now. i already feel old,0,9,0.0,neutral
"Welcome to the new generation of Pokemon!Rock, Paper, Scissors",0,9,0.0,neutral
I love that the characters have actual bags and not just messenger bags. Like they're finally acknowledging the fact that the kids aren't going home and need an actual place to store all the items they gather.,2.0,35,0.05714285714285714,positive
"Gamefreak: <span class="""" dir=""auto"" style=""font-weight: 500;"">Makes a Pokémon game NOT for the 3DS.",-1.0,8,-0.125,negative
Finally a main entry Pokemon game that has a resolution above 420p,1.0,12,0.08333333333333333,positive
I’m hyped for Pokémon Blood and Pokémon CripAnd the follow up Pokémon Police,1.0,13,0.07692307692307693,positive
Can't wait for team gun to show up and cause chaos.,-1.0,11,-0.09090909090909091,negative
"What the hell , that was 7 years ago??",0,9,0.0,neutral
Can’t wait for Pokémon cola and Pepsi...,1.0,7,0.14285714285714285,positive
I'm really hoping that foggy forest is home to some good ghost types,1.0,13,0.07692307692307693,positive
"We've had like, eight hundred Pokemon games, and the combat animations are still ""jiggle forward to attack from 40 feet away.""",1.0,21,0.047619047619047616,positive
"Pokémon In &amp; Pokémon Out, with a spin off Pokemon Shake It All About.",0,14,0.0,neutral
"<span class=""ytAttributedStringItalicized"" dir=""auto"" style=""font-weight: 500;"">GUD DAE WE'RE HAVIN' HERE, INNIT?!",1.0,6,0.16666666666666666,positive
