comment,raw_score,length,normalized_score,class
Let's hope more than 3 buildings are actually accessible in Luminous city.,0,12,0.0,neutral
"""Say the line, Game Freak!""""Does not reflect actual gameplay experience.""""YEEEEAAAAAH!!!!""",-1.0,9,-0.1111111111111111,negative
"Is anyone else upset that we don't get to explore the whole of Kalos, we're just stuck in the city?",-1.0,20,-0.05,negative
I will never understand how Pokemon can be the most lucrative license of all time and still have games with gamecube texture in 2025,-2.0,23,-0.08695652173913043,negative
15 fps never looked so good,0.0,6,0.0,neutral
"I agree with so many of these comments and, I miss how ""dark"" looking pokemon and cool they looked back in the day. Hard for me to like it nowadays when they just do not apeal to me what so ever anymore.",1.0,39,0.02564102564102564,positive
"""Does not reflect gameplay experience""Yes, because ain't no way we're getting playable framerates in this game lol",-2.0,15,-0.13333333333333333,negative
Nah I'm tired of hearing that this shit is a step in the right direction. We've been getting so many steps we're only like 5 feet from the starting line.,-1.0,30,-0.03333333333333333,negative
"Sad that they choose 2 starters from the same region, but at the same time, I'm excited to use Totodile",-1.0,20,-0.05,negative
"It's a city, but hardly anybody is walking around.",0,9,0.0,neutral
I’m convinced Nintendo fans love the bare minimum. I feel like we should have gotten this game 10 years ago. But hey it’s Pokémon so I’m sure they will sell well,1.0,30,0.03333333333333333,positive
"For the life of me i will never understand why chikorita and totodile were chosen over snivy and piplup, two of the most FRENCH inspired starters.",0,25,0.0,neutral
"If the entire game takes place in one giant city then they have no excuse to make the graphics actually good this time lol. I do love the fact that Pokemon move around, dodge, and lunge in combat, that’s really cool.Shoutout to the seven Chikorita fans. Love to see it.",0.5,49,0.01020408163265306,positive
"Friendly reminder, if they showed this much out in the trailer it means the visuals are mostly final so don't get your hopes up for a decent looking experience.",0,29,0.0,neutral
girl i was fcking excited for this but why the scarlet violet graphics and animations and even sounds????,0,17,0.0,neutral
When the largest franchise in history is still making Gamecube games.,-1.0,11,-0.09090909090909091,negative
Looks like a dead city - immobile NPCs and vehicles - a GameFreak masterpiece!,1.0,14,0.07142857142857142,positive
I had to double check my video settings to make sure HD was on.,0,13,0.0,neutral
PoV: Arceus kidnaps you and places you in a city where it feels like you’re running through molasses,0,18,0.0,neutral
Am I the only one upset that it doesn’t have the Arceus art style?,-1.0,13,-0.07692307692307693,negative
Did they reallly turn Chad King A.Z. into a old skinny guy,0,12,0.0,neutral
Palworld needs to sue yall for copying the new battle mechanic,-1.0,11,-0.09090909090909091,negative
"The whole game is really in one city? lmao it's like Gamefreak said ""oh we heard you didn't like that there weren't many towns in S/V so now you only get one town.""",0,33,0.0,neutral
So you mean to tell me they rather get into a legal battle about palworld instead innovating the game to compete,-1.0,21,-0.047619047619047616,negative
Still no voice actors it's already 2025,-1.0,7,-0.14285714285714285,negative
"Based on that last part in the trailer, i think we might be getting a coronation series similar to that of pokemon journeys.",1.0,22,0.045454545454545456,positive
"If people are saying monster hunter devs are lazy, I'll show them this",-1.0,13,-0.07692307692307693,negative
Yeah we're not recovering from s/v bro,1.0,6,0.16666666666666666,positive
Nintendo is suing Palworld because they can't compete with better gameplay.,1.0,11,0.09090909090909091,positive
"""The next Pokemon game will have amazing graphics!"" - Me 10 Pokemon games ago",1.0,14,0.07142857142857142,positive
"Totodile mega evolution hopefully be like killer croc <span class=""ytAttributedStringInlineBlockMod"" style=""margin-left: 2px; margin-right: 2px;""><img alt=""🐊"" class=""ytCoreImageHost ytAttributedStringImageElement ytAttributedStringImageAlignmentVerticalCenter ytCoreImageContentModeScaleToFill ytCoreImageLoaded"" style=""height: 16px; width: 16px;"" src=""./za_files/emoji_u1f40a.png"">",0,9,0.0,neutral
"So many fucking years I've waited for Mega Evos to come back, I'm so hyped",1.0,15,0.06666666666666667,positive
I still miss Pokepark man,0,4,0.0,neutral
"I like the gameplay. But man, being in an extreme low poly city the whole time is rough. Might be best to wait for the Switch 2 games.",1.0,27,0.037037037037037035,positive
Pal World got them spooked,0,5,0.0,neutral
What an amazing animation for the elevator,1.0,7,0.14285714285714285,positive
I wonder if they’ll have the Eternal Flower Flowette as an event Pokemon when the game debuts,0,16,0.0,neutral
"THIS LOOKS SO COOL, I CAN'T WAIT",0.0,6,0.0,neutral
It's a wonderful day for chikorita fans,0,7,0.0,neutral
It seems there will be glitching/flickering trees again.,0,8,0.0,neutral
It’s like they sapped the soul out of everything that made Arceus so special…,0,14,0.0,neutral
Is it me or does the frame rate and graphics look horrible. Don't tell me this is a launch title of the Switch 2.,-1.0,24,-0.041666666666666664,negative
People have PTSD from scarlet and violet lmao. Even tho it does look a lot like scarlet and violet those games were also rushed. Hopefully this game turns out good.,1.0,30,0.03333333333333333,positive
Can't wait to see if it runs correctly on its own system...,-1.0,12,-0.08333333333333333,negative
"Bruh, new Pokemon is set it Fr**ce <span class=""ytAttributedStringInlineBlockMod"" style=""margin-left: 2px; margin-right: 2px;""><img alt=""😭"" class=""ytCoreImageHost ytAttributedStringImageElement ytAttributedStringImageAlignmentVerticalCenter ytCoreImageContentModeScaleToFill ytCoreImageLoaded"" style=""height: 16px; width: 16px;"" src=""./za_files/emoji_u1f62d.png"">",0,8,0.0,neutral
"While Pokemon X and Y weren't my first Pokemon games when I was a kid, they were the first I beat and seeing the old man and his Flabebe made me tear up.",0,31,0.0,neutral
If you told me this was a mobile game I'd belive you,-1.0,12,-0.08333333333333333,negative
Fun fact! The reason for the starter choices is!Tepig - france and spain used wild hogs in warfare!Totodile - theres a crocodile farm in france!Chikorita - is a sauropod. Theres a 150 mile long sauropod track in france.,1.0,38,0.02631578947368421,positive
Sky battles bouta go so hard,0,6,0.0,neutral
palworld without gun,0,3,0.0,neutral
It’s sad we lost the real survival aspect from the previous legends game I remember when that gameplay trailer came out everyone was hyped for it but it seems a lot of people this time around (me included) are disappointed,-2.0,39,-0.05128205128205128,negative
What are the chances that this can run at 20+ FPS?,-1.0,11,-0.09090909090909091,negative
I mean is it so hard to just make a pokemon adventure with like pokken tournement kind of combat with like 4 moves that you can customise? The combat reminds me of digimon world lmao,1.0,34,0.029411764705882353,positive
"I was hoping the setting of the Pokemon Legend Z game would be during the Kalos war, but I was disappointed.",-1.0,19,-0.05263157894736842,negative
Snivy and piplup are literally French inspired but ok,0,9,0.0,neutral
This looks amazing,1.0,3,0.3333333333333333,positive
"y'know it really feels like nintendo got sick of the leaks and said ""ugh FINE we'll give you a trailer""like we got the starters revealed, and megas, and we got to see it a bit of gameplay, but no new pokemon or megas or formsfor the legends arceus trailer, we got the starters and some lore and the trailer felt really thematic but this just feels low effort :/",-2.0,69,-0.028985507246376812,negative
When i first saw the gates i thought they were to block exploration like the power outages in X and Y,0,19,0.0,neutral
2010 graphics looking lit,0,4,0.0,neutral
"So the rumors were right about it, this game looks very similar to Scarlett and violet, what a shame.",-1.0,19,-0.05263157894736842,negative
"Really, Piplup &amp; Snivy were Both ignored when they have French themed final evolutions?Weird. I will never understand that.",0,18,0.0,neutral
We can now parkour,0,4,0.0,neutral
look at those pixelated pixels,0,5,0.0,neutral
idk what i just watched it looked like smothing old but at the same time new?,0,15,0.0,neutral
Hoping the customization is gonna be good this time around.,2.0,10,0.2,positive
I was really hoping for Legends: Kyurem,0,6,0.0,neutral
